,id,salaryusd,primarydatabase,yearswiththisdatabase,employmentstatus,jobtitle,managestaff,yearswiththistypeofjob,otherpeopleonyourteam,education,educationiscomputerrelated,certifications,hoursworkedperweek,telecommutedaysperweek,employmentsector,region,averagesalaryusdbins
3301,3328,110000,Microsoft SQL Server,10,Independent Consultant/Freelancer,Developer,No,3,None,Bachelors (4 years),No,"No, I never have",40,2,Private business,North America,USD105000
3304,3331,103000,Microsoft SQL Server,7,Full time employee,Developer,No,2,1,Bachelors (4 years),Yes,"No, I never have",40,1,Private business,North America,USD105000
3306,3333,110000,Microsoft SQL Server,12,Full time employee,DBA,Yes,12,1,Bachelors (4 years),Yes,"No, I never have",42,"None, or less than 1 day per week","Education (K-12, college, university)",North America,USD105000
3307,3334,103520,Microsoft SQL Server,10,Full time employee,Developer,Yes,5,None,Bachelors (4 years),Yes,"No, I never have",40,2,Private business,North America,USD105000
3319,3346,110000,Microsoft SQL Server,14,Full time employee,Developer,No,9,None,Masters,No,"No, I never have",46,"None, or less than 1 day per week",Private business,North America,USD105000
3345,3372,103000,Microsoft SQL Server,13,Full time employee,DBA,No,1,None,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,North America,USD105000
3348,3375,105000,Microsoft SQL Server,12,Full time employee,Manager,Yes,12,None,Bachelors (4 years),Yes,"No, I never have",50,"None, or less than 1 day per week",Private business,North America,USD105000
3358,3385,110000,Microsoft SQL Server,12,Full time employee,Developer,No,12,3,None (no degree completed),,"No, I never have",40,"None, or less than 1 day per week",Private business,North America,USD105000
3371,3398,107500,Microsoft SQL Server,12,Full time employee,Architect,Yes,3,None,Bachelors (4 years),No,"Yes, and they're currently valid",42,"None, or less than 1 day per week",Private business,North America,USD105000
3380,3407,106000,Microsoft SQL Server,17,Full time employee,Developer,No,5,4,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,North America,USD105000
3381,3408,106000,Microsoft SQL Server,14,Full time employee,Developer,No,0,2,Associates (2 years),Yes,"No, I never have",50,"None, or less than 1 day per week",Private business,North America,USD105000
3382,3409,101000,Microsoft SQL Server,7,Full time employee,Manager,Yes,2,None,Masters,No,"No, I never have",40,1,Private business,North America,USD105000
3389,3416,108000,Microsoft SQL Server,15,Full time employee,DBA,Yes,12,None,Associates (2 years),,"No, I never have",45,"None, or less than 1 day per week",Government,North America,USD105000
3401,3428,110000,Microsoft SQL Server,17,Full time employee,Manager,Yes,3,None,Masters,Yes,"Yes, but they expired",50,3,Private business,North America,USD105000
3416,3443,101000,Microsoft SQL Server,13,Full time employee,DBA,No,3,3,Bachelors (4 years),Yes,"Yes, and they're currently valid",45,"None, or less than 1 day per week",Private business,North America,USD105000
3419,3446,106000,Microsoft SQL Server,4,Full time employee,Engineer,No,2,More than 5,None (no degree completed),,"Yes, and they're currently valid",60,3,Private business,North America,USD105000
3422,3449,104000,Microsoft SQL Server,7,Full time employee,Manager,Yes,1,None,Bachelors (4 years),Yes,"No, I never have",45,"None, or less than 1 day per week",Private business,North America,USD105000
3431,3458,110000,Microsoft SQL Server,5,Full time employee,DBA,No,5,5,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,North America,USD105000
3441,3469,103000,Microsoft SQL Server,5,Full time employee,DBA,No,10,2,Bachelors (4 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Government,North America,USD105000
3445,3473,110000,Microsoft SQL Server,5,Full time employee,DBA,No,5,1,None (no degree completed),,"No, I never have",40,1,Government,North America,USD105000
3452,3480,105000,Microsoft SQL Server,10,Full time employee,Manager,Yes,1,None,Bachelors (4 years),Yes,"Yes, but they expired",60,"None, or less than 1 day per week",Private business,North America,USD105000
3453,3481,107000,Microsoft SQL Server,14,Full time employee,DBA,No,7,1,None (no degree completed),,"Yes, but they expired",45,"None, or less than 1 day per week",Private business,North America,USD105000
3468,3496,109000,Microsoft SQL Server,20,Full time employee,DBA,No,20,More than 5,Bachelors (4 years),Yes,"Yes, but they expired",45,2,Private business,North America,USD105000
3477,3505,110000,Microsoft SQL Server,20,Full time employee,DBA,No,5,5,Masters,Yes,"No, I never have",45,2,Private business,North America,USD105000
3480,3508,110000,Microsoft SQL Server,14,Full time employee,DBA,No,13,5,None (no degree completed),,"Yes, but they expired",40,2,Private business,North America,USD105000
3481,3509,105000,Microsoft SQL Server,14,Full time employee,Developer,No,15,1,None (no degree completed),,"No, I never have",40,"None, or less than 1 day per week",Private business,North America,USD105000
3498,3526,107500,Microsoft SQL Server,9,Full time employee,Developer,No,20,2,Bachelors (4 years),Yes,"No, I never have",44,1,Private business,North America,USD105000
3506,3534,103000,Microsoft SQL Server,5,Full time employee,Developer,No,4,4,Bachelors (4 years),Yes,"No, I never have",38,"None, or less than 1 day per week",Private business,North America,USD105000
3507,3535,109500,Microsoft SQL Server,9,Full time employee,DBA,No,9,1,Bachelors (4 years),Yes,"Yes, but they expired",60,1,Private business,North America,USD105000
3513,3541,105000,Microsoft SQL Server,15,Full time employee,DBA,No,15,None,Bachelors (4 years),No,"No, I never have",40,"None, or less than 1 day per week",Private business,North America,USD105000
3515,3543,105000,Microsoft SQL Server,4,Full time employee,DBA,No,1,1,Bachelors (4 years),Yes,"Yes, but they expired",50,"None, or less than 1 day per week",Private business,North America,USD105000
3550,3579,108000,Microsoft SQL Server,10,Full time employee,DBA,No,1,1,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Government,North America,USD105000
3554,3583,104000,Microsoft SQL Server,10,Full time employee,DBA,No,10,More than 5,Masters,Yes,"Yes, and they're currently valid",40,5 or more,Non-profit,North America,USD105000
3562,3591,110000,Microsoft SQL Server,6,Full time employee,DBA,Yes,1,None,Masters,Yes,"Yes, and they're currently valid",60,"None, or less than 1 day per week",Private business,North America,USD105000
3577,3606,102232,Microsoft SQL Server,11,Full time employee,Architect,Yes,3,None,Associates (2 years),Yes,"No, I never have",45,"None, or less than 1 day per week",Non-profit,North America,USD105000
3584,3613,110000,Microsoft SQL Server,15,Full time employee,DBA,No,5,2,Bachelors (4 years),No,"Yes, and they're currently valid",40,1,Non-profit,North America,USD105000
3596,3625,110000,Microsoft SQL Server,23,Full time employee,Analyst,No,1,None,Bachelors (4 years),Yes,"Yes, but they expired",40,5 or more,Private business,North America,USD105000
3597,3626,105000,Microsoft SQL Server,6,Full time employee,DBA,No,4,None,Associates (2 years),Yes,"No, I never have",40,1,Government,North America,USD105000
3612,3641,110000,Microsoft SQL Server,14,Full time employee,DBA,No,14,More than 5,Bachelors (4 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,North America,USD105000
3622,3651,105000,Microsoft SQL Server,20,Full time employee,DBA,No,5,1,Bachelors (4 years),No,"Yes, but they expired",45,5 or more,Private business,North America,USD105000
3633,3662,110000,Microsoft SQL Server,16,Full time employee,Developer,No,19,4,Bachelors (4 years),Yes,"No, I never have",41,5 or more,Private business,North America,USD105000
3634,3663,110000,Microsoft SQL Server,23,Full time employee,DBA,No,1,More than 5,Bachelors (4 years),No,"No, I never have",45,"None, or less than 1 day per week",Private business,North America,USD105000
3635,3664,108000,Microsoft SQL Server,15,Full time employee,Developer,Yes,7,2,Bachelors (4 years),Yes,"No, I never have",48,"None, or less than 1 day per week",Private business,North America,USD105000
3636,3665,102900,Microsoft SQL Server,22,Full time employee,DBA,No,22,None,Bachelors (4 years),Yes,"Yes, but they expired",45,"None, or less than 1 day per week",Private business,North America,USD105000
3643,3672,108000,Microsoft SQL Server,19,Full time employee,Engineer,No,2,3,Masters,No,"No, I never have",45,3,Private business,North America,USD105000
3656,3685,110000,Microsoft SQL Server,10,Full time employee,DBA,No,15,2,None (no degree completed),,"No, I never have",40,1,Private business,North America,USD105000
3659,3688,102000,Microsoft SQL Server,21,Full time employee,Developer,No,21,1,Bachelors (4 years),No,"No, I never have",35,"None, or less than 1 day per week",Private business,North America,USD105000
3661,3690,101000,Microsoft SQL Server,18,Full time employee,Developer,No,11,2,Associates (2 years),No,"No, I never have",40,"None, or less than 1 day per week",Government,North America,USD105000
3663,3692,101900,Microsoft SQL Server,5,Full time employee,DBA,No,1,None,Bachelors (4 years),No,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Government,North America,USD105000
3665,3694,105800,Microsoft SQL Server,12,Full time employee,Developer,No,9,None,Associates (2 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,North America,USD105000
3677,3706,110000,Microsoft SQL Server,18,Full time employee,DBA,No,18,4,Masters,No,"Yes, but they expired",40,5 or more,Private business,North America,USD105000
3697,3726,103000,Microsoft SQL Server,10,Full time employee,Manager,Yes,3,4,Bachelors (4 years),No,"No, I never have",45,"None, or less than 1 day per week",Private business,North America,USD105000
3703,3732,104000,Microsoft SQL Server,15,Full time employee,DBA,No,4,None,Bachelors (4 years),No,"Yes, but they expired",45,1,Government,North America,USD105000
3704,3733,110000,Microsoft SQL Server,13,Full time employee,Manager,Yes,13,None,Bachelors (4 years),No,"No, I never have",42,"None, or less than 1 day per week",Private business,North America,USD105000
3712,3741,110000,Microsoft SQL Server,17,Full time employee,Developer,No,5,3,None (no degree completed),,"Yes, but they expired",45,"None, or less than 1 day per week",Private business,North America,USD105000
3724,3753,110000,Microsoft SQL Server,25,Full time employee,DBA,No,30,3,Bachelors (4 years),Yes,"Yes, and they're currently valid",48,"None, or less than 1 day per week","Education (K-12, college, university)",North America,USD105000
3726,3755,109200,PostgreSQL,12,Full time employee,DBA,Yes,5,4,Masters,Yes,"No, I never have",50,"None, or less than 1 day per week",Non-profit,North America,USD105000
3727,3756,105000,Microsoft SQL Server,15,Full time employee,DBA,No,5,2,Bachelors (4 years),Yes,"Yes, but they expired",42,"None, or less than 1 day per week",Private business,North America,USD105000
3729,3758,101000,Microsoft SQL Server,12,Full time employee,DBA,No,12,None,Bachelors (4 years),Yes,"Yes, and they're currently valid",45,"None, or less than 1 day per week",Non-profit,North America,USD105000
3732,3761,102000,Microsoft SQL Server,4,Full time employee,DBA,No,4,None,None (no degree completed),,"No, I never have",43,1,Private business,North America,USD105000
3742,3771,105000,Microsoft SQL Server,4,Full time employee,DBA,No,4,1,Bachelors (4 years),Yes,"No, I never have",40,5 or more,Private business,North America,USD105000
3751,3780,110000,Microsoft SQL Server,6,Full time employee,Analyst,No,12,2,Bachelors (4 years),No,"No, I never have",40,"None, or less than 1 day per week",Non-profit,North America,USD105000
3754,3783,105000,Microsoft SQL Server,17,Full time employee,Developer,Yes,15,5,Bachelors (4 years),No,"No, I never have",40,"None, or less than 1 day per week",Private business,North America,USD105000
3765,3794,105000,Microsoft SQL Server,20,Full time employee,DBA,No,20,None,Masters,Yes,"Yes, but they expired",55,"None, or less than 1 day per week",Private business,North America,USD105000
3771,3800,103000,Microsoft SQL Server,10,Full time employee,DBA,No,5,1,Bachelors (4 years),Yes,"Yes, but they expired",42,5 or more,Private business,North America,USD105000
3776,3805,110000,Microsoft SQL Server,5,Full time employee,Manager,Yes,1,None,None (no degree completed),,"No, I never have",45,"None, or less than 1 day per week",Private business,North America,USD105000
3781,3810,110000,Microsoft SQL Server,18,Full time employee,DBA,No,18,1,Bachelors (4 years),No,"Yes, and they're currently valid",44,"None, or less than 1 day per week",Private business,North America,USD105000
3793,3822,106000,Microsoft SQL Server,8,Full time employee,DBA,No,7,5,Bachelors (4 years),Yes,"Yes, but they expired",35,1,Private business,North America,USD105000
3799,3828,107000,Microsoft SQL Server,15,Full time employee,DBA,No,20,None,Bachelors (4 years),No,"Yes, and they're currently valid",40,5 or more,Private business,North America,USD105000
3804,3834,105000,Microsoft SQL Server,4,Full time employee,DBA,Yes,4,None,Bachelors (4 years),Yes,"Yes, and they're currently valid",50,"None, or less than 1 day per week",Private business,North America,USD105000
3806,3836,108000,Microsoft SQL Server,10,Full time employee,DBA,No,3,4,Bachelors (4 years),Yes,"Yes, but they expired",50,1,Private business,North America,USD105000
3813,3843,110000,Microsoft SQL Server,15,Full time employee,DBA,No,15,None,Masters,No,"Yes, but they expired",40,"None, or less than 1 day per week",Non-profit,North America,USD105000
3816,3846,105000,Microsoft SQL Server,5,Full time employee,Developer,No,5,None,Bachelors (4 years),No,"No, I never have",40,1,Private business,North America,USD105000
3819,3850,110000,Microsoft SQL Server,18,Full time employee,DBA,No,18,None,None (no degree completed),,"No, I never have",45,2,Private business,North America,USD105000
3822,3853,101000,Microsoft SQL Server,8,Full time employee,DBA,Yes,8,2,Bachelors (4 years),Yes,"Yes, but they expired",50,"None, or less than 1 day per week",Private business,North America,USD105000
3830,3861,104000,Microsoft SQL Server,15,Full time employee,Developer,Yes,25,1,None (no degree completed),,"Yes, and they're currently valid",60,1,Private business,North America,USD105000
3833,3864,105000,Microsoft SQL Server,20,Full time employee,DBA,No,20,None,Masters,No,"No, I never have",43,"None, or less than 1 day per week",Private business,North America,USD105000
3836,3867,102104,Microsoft SQL Server,15,Full time employee,DBA,No,6,None,Associates (2 years),No,"Yes, and they're currently valid",40,1,Private business,North America,USD105000
3845,3876,110000,Microsoft SQL Server,19,Full time employee,Developer,No,19,1,None (no degree completed),,"Yes, but they expired",45,2,Private business,North America,USD105000
3848,3879,104000,Microsoft SQL Server,13,Full time employee,DBA,No,10,2,Masters,Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,North America,USD105000
3849,3880,107000,Microsoft SQL Server,15,Full time employee,Developer,No,22,4,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,North America,USD105000
3851,3882,110000,Microsoft SQL Server,2,Full time employee,Analyst,No,8,2,Bachelors (4 years),Yes,"Yes, but they expired",40,2,Non-profit,North America,USD105000
3861,3892,110000,Microsoft SQL Server,2,Full time employee,DBA,No,1,None,Bachelors (4 years),No,"No, I never have",44,"None, or less than 1 day per week",Private business,North America,USD105000
3871,3902,110000,Microsoft SQL Server,9,Full time employee,Engineer,No,1,None,Bachelors (4 years),No,"No, I never have",40,1,Private business,North America,USD105000
3874,3905,102000,Microsoft SQL Server,20,Full time employee,DBA,Yes,26,1,Bachelors (4 years),No,"Yes, but they expired",50,"None, or less than 1 day per week",Private business,North America,USD105000
3875,3906,108000,Microsoft SQL Server,15,Full time employee,DBA,No,10,1,Bachelors (4 years),Yes,"No, I never have",45,1,Private business,North America,USD105000
3888,3920,110000,Microsoft SQL Server,19,Full time employee,Developer,No,1,1,Bachelors (4 years),No,"No, I never have",40,"None, or less than 1 day per week",Private business,North America,USD105000
3893,3925,105000,Microsoft SQL Server,15,Full time employee,Developer,No,15,1,Bachelors (4 years),Yes,"No, I never have",50,5 or more,Private business,North America,USD105000
3905,3937,104000,Microsoft SQL Server,10,Full time employee,Developer,No,2,None,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,North America,USD105000
3921,3953,102000,Microsoft SQL Server,10,Full time employee,DBA,No,8,More than 5,Bachelors (4 years),No,"Yes, but they expired",42,3,Private business,North America,USD105000
3923,3955,102200,Azure SQL DB,2,Full time employee,DBA,No,12,1,None (no degree completed),,"No, I never have",40,5 or more,Private business,North America,USD105000
3930,3962,110000,Microsoft SQL Server,13,Full time employee,DBA,No,28,None,None (no degree completed),,"No, I never have",40,"None, or less than 1 day per week",Private business,North America,USD105000
3932,3964,104000,Microsoft SQL Server,20,Full time employee,DBA,No,18,More than 5,Bachelors (4 years),Yes,"No, I never have",45,2,Private business,North America,USD105000
3935,3967,105000,Microsoft SQL Server,15,Full time employee,Analyst,No,20,More than 5,Bachelors (4 years),No,"Yes, but they expired",40,5 or more,Private business,North America,USD105000
3936,3968,104000,Microsoft SQL Server,8,Full time employee,Developer,No,3,None,Bachelors (4 years),No,"No, I never have",40,"None, or less than 1 day per week",Private business,North America,USD105000
3942,3974,105000,Microsoft SQL Server,8,Full time employee,Developer,No,25,2,Bachelors (4 years),No,"No, I never have",40,1,Private business,North America,USD105000
3943,3975,106000,Microsoft SQL Server,15,Full time employee,Architect,No,15,None,None (no degree completed),,"No, I never have",40,1,Government,North America,USD105000
3949,3981,101000,Microsoft SQL Server,12,Full time employee,DBA,No,12,5,Bachelors (4 years),No,"Yes, and they're currently valid",45,5 or more,Private business,North America,USD105000
3958,3990,110000,Microsoft SQL Server,17,Full time employee,DBA,No,17,1,Masters,Yes,"No, I never have",50,"None, or less than 1 day per week",Private business,North America,USD105000
3968,4000,110000,Microsoft SQL Server,10,Full time employee,DBA,No,7,1,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,2,Non-profit,North America,USD105000
3981,4013,102000,Microsoft SQL Server,14,Full time employee,DBA,No,10,None,Associates (2 years),,"No, I never have",40,"None, or less than 1 day per week",Private business,North America,USD105000
3999,4031,103000,Microsoft SQL Server,8,Full time employee,DBA,No,8,None,Bachelors (4 years),Yes,"Yes, and they're currently valid",50,2,Government,North America,USD105000
4011,4043,108000,Microsoft SQL Server,8,Full time employee,Manager,Yes,3,None,Bachelors (4 years),No,"No, I never have",42,"None, or less than 1 day per week",Private business,North America,USD105000
4023,4055,107000,Microsoft SQL Server,11,Full time employee,Developer,No,11,2,Masters,Yes,"No, I never have",40,2,Non-profit,North America,USD105000
4025,4057,105000,Microsoft SQL Server,14,Full time employee,DBA,No,14,3,None (no degree completed),No,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,North America,USD105000
4032,4064,105000,Microsoft SQL Server,13,Full time employee,DBA,No,13,1,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Government,North America,USD105000
4050,4082,105607,Microsoft SQL Server,5,Full time employee,DBA,No,6,None,None (no degree completed),,"Yes, and they're currently valid",50,"None, or less than 1 day per week",Private business,North America,USD105000
4059,4091,107000,Microsoft SQL Server,15,Full time employee,DBA,No,3,2,Masters,No,"No, I never have",49,2,Private business,North America,USD105000
4063,4095,105000,Microsoft SQL Server,15,Full time employee,DBA,No,22,None,Bachelors (4 years),Yes,"No, I never have",40,1,Private business,North America,USD105000
4064,4096,105000,Microsoft SQL Server,5,Full time employee,Developer,No,1,3,Bachelors (4 years),Yes,"No, I never have",32,"None, or less than 1 day per week",Private business,North America,USD105000
4067,4099,105000,Microsoft SQL Server,18,Full time employee,Developer,No,18,2,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,5 or more,Private business,North America,USD105000
4074,4106,106500,Microsoft SQL Server,8,Full time employee,Engineer,Yes,2,1,None (no degree completed),,"Yes, and they're currently valid",50,"None, or less than 1 day per week",Government,North America,USD105000
4077,4109,105000,Microsoft SQL Server,20,Full time employee,Developer,No,20,None,Bachelors (4 years),No,"No, I never have",40,2,Private business,North America,USD105000
4112,4144,109000,Microsoft SQL Server,12,Full time employee,Architect,No,12,None,Bachelors (4 years),Yes,"Yes, but they expired",40,2,Private business,North America,USD105000
4117,4149,109000,DB2,5,Full time employee,Manager,Yes,1,3,Bachelors (4 years),No,"No, I never have",50,"None, or less than 1 day per week",Private business,North America,USD105000
4129,4161,103000,Microsoft SQL Server,5,Full time employee,Analyst,Yes,4,4,None (no degree completed),,"No, I never have",45,"None, or less than 1 day per week",Private business,North America,USD105000
4133,4165,105000,Oracle,10,Full time employee,Developer,Yes,5,3,Bachelors (4 years),Yes,"Yes, and they're currently valid",30,5 or more,Private business,North America,USD105000
4137,4169,110000,Microsoft SQL Server,12,Full time employee,DBA,Yes,4,1,Bachelors (4 years),Yes,"No, I never have",50,"None, or less than 1 day per week",Private business,North America,USD105000
4148,4180,104000,Oracle,15,Full time employee,DBA,Yes,6,More than 5,Associates (2 years),Yes,"No, I never have",40,2,Government,North America,USD105000
4153,4185,102900,Microsoft SQL Server,7,Full time employee,Developer,No,7,1,None (no degree completed),,"No, I never have",40,4,Private business,North America,USD105000
4175,4207,106000,Microsoft SQL Server,18,Full time employee,DBA,Yes,18,1,Associates (2 years),No,"Yes, but they expired",50,1,Non-profit,North America,USD105000
4180,4212,104000,Microsoft SQL Server,11,Full time employee,DBA,No,2,1,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,5 or more,Private business,North America,USD105000
4183,4215,106000,Microsoft SQL Server,2,Full time employee,Analyst,Yes,2,1,Bachelors (4 years),No,"No, I never have",60,1,Private business,North America,USD105000
4188,4220,104000,Microsoft SQL Server,8,Full time employee,Architect,No,1,1,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,1,Private business,North America,USD105000
4196,4228,105000,Microsoft SQL Server,7,Full time employee,Engineer,No,7,2,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,North America,USD105000
4210,4242,108000,Microsoft SQL Server,6,Full time employee,Manager,Yes,4,3,Masters,No,"No, I never have",20,5 or more,Private business,North America,USD105000
4222,4254,103107,Microsoft SQL Server,10,Full time employee,DBA,No,7,More than 5,Bachelors (4 years),No,"Yes, and they're currently valid",42,1,Private business,North America,USD105000
4229,4261,110000,Microsoft SQL Server,15,Full time employee,Architect,Yes,6,None,Bachelors (4 years),Yes,"Yes, but they expired",55,5 or more,Government,North America,USD105000
4230,4262,110000,Microsoft SQL Server,15,Full time employee,Architect,Yes,6,None,Bachelors (4 years),Yes,"Yes, but they expired",55,5 or more,Government,North America,USD105000
4233,4265,109000,Oracle,5,Full time employee,DBA,No,6,More than 5,Bachelors (4 years),Yes,"Yes, but they expired",45,2,"Education (K-12, college, university)",North America,USD105000
4234,4266,105000,Microsoft SQL Server,5,Full time employee,DBA,No,4,None,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Government,North America,USD105000
4244,4276,105000,Microsoft SQL Server,6,Full time employee,Analyst,No,3,None,Bachelors (4 years),Yes,"No, I never have",50,"None, or less than 1 day per week",Private business,North America,USD105000
4247,4279,107000,Microsoft SQL Server,21,Full time employee,DBA,No,21,None,Bachelors (4 years),Yes,"Yes, but they expired",45,1,Private business,North America,USD105000
4249,4281,110000,PostgreSQL,1,Full time employee,Manager,Yes,4,None,Bachelors (4 years),No,"No, I never have",40,"None, or less than 1 day per week",Private business,North America,USD105000
4250,4282,110000,Microsoft SQL Server,20,Full time employee,DBA,No,20,More than 5,Masters,Yes,"Yes, but they expired",45,5 or more,Private business,North America,USD105000
4260,4292,104000,Microsoft SQL Server,20,Full time employee,DBA,Yes,20,None,Bachelors (4 years),No,"No, I never have",40,3,Private business,North America,USD105000
4266,4298,101000,Microsoft SQL Server,10,Full time employee,DBA,No,8,None,Masters,Yes,"No, I never have",50,"None, or less than 1 day per week",Private business,North America,USD105000
4281,4313,105000,Microsoft SQL Server,12,Full time employee,DBA,No,12,2,Bachelors (4 years),Yes,"No, I never have",40,2,Private business,North America,USD105000
4286,4318,103000,Microsoft SQL Server,11,Full time employee,DBA,No,11,None,Associates (2 years),Yes,"No, I never have",45,"None, or less than 1 day per week",Private business,North America,USD105000
4288,4320,104495,Microsoft SQL Server,29,Full time employee,DBA,No,20,None,Masters,No,"No, I never have",50,"None, or less than 1 day per week",Private business,North America,USD105000
4299,4331,105000,Microsoft SQL Server,15,Full time employee,DBA,No,15,1,Doctorate/PhD,No,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,North America,USD105000
4300,4332,110000,Microsoft SQL Server,15,Full time employee,Developer,No,1,2,Masters,Yes,"Yes, and they're currently valid",50,5 or more,Private business,North America,USD105000
4311,4344,101000,Microsoft SQL Server,10,Full time employee,Analyst,No,10,More than 5,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week","Education (K-12, college, university)",North America,USD105000
4314,4347,108000,Microsoft SQL Server,19,Full time employee,DBA,No,19,1,Bachelors (4 years),No,"Yes, and they're currently valid",40,4,Private business,North America,USD105000
4316,4349,110000,Microsoft SQL Server,6,Full time employee,Developer,No,5,More than 5,Bachelors (4 years),No,"Yes, and they're currently valid",40,5 or more,Private business,North America,USD105000
4339,4372,106000,Microsoft SQL Server,10,Full time employee,Architect,Yes,10,None,Associates (2 years),Yes,"Yes, but they expired",50,1,Private business,North America,USD105000
4342,4375,103000,Microsoft SQL Server,5,Full time employee,DBA,Yes,7,None,None (no degree completed),,"Yes, and they're currently valid",45,1,Private business,North America,USD105000
4346,4379,103000,Microsoft SQL Server,15,Full time employee,DBA,No,20,2,Bachelors (4 years),Yes,"Yes, but they expired",42,5 or more,Private business,North America,USD105000
4347,4380,102000,Microsoft SQL Server,12,Full time employee,Manager,Yes,1,None,Bachelors (4 years),Yes,"No, I never have",40,5 or more,"Education (K-12, college, university)",North America,USD105000
4357,4390,105000,Microsoft SQL Server,15,Full time employee,DBA,No,15,3,Bachelors (4 years),Yes,"No, I never have",45,"None, or less than 1 day per week",Private business,North America,USD105000
4359,4392,101500,Microsoft SQL Server,8,Full time employee,DBA,No,9,3,Bachelors (4 years),Yes,"No, I never have",43,1,Private business,North America,USD105000
4360,4393,107000,Microsoft SQL Server,9,Full time employee,DBA,No,8,None,Bachelors (4 years),No,"Yes, but they expired",45,1,Private business,North America,USD105000
4393,4426,105000,Microsoft SQL Server,10,Full time employee,Architect,Yes,10,More than 5,Bachelors (4 years),No,"No, I never have",45,"None, or less than 1 day per week",Private business,Western Europe,USD105000
4545,4578,107000,Microsoft SQL Server,10,Full time employee,DBA,No,5,More than 5,Bachelors (4 years),No,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,Western Europe,USD105000
4567,4600,103000,Oracle,10,Full time employee,DBA,Yes,4,4,Associates (2 years),No,"Yes, but they expired",37,"None, or less than 1 day per week",Private business,Western Europe,USD105000
4613,4646,103000,Microsoft SQL Server,8,Full time employee,Developer,No,3,More than 5,Masters,Yes,"Yes, and they're currently valid",35,2,Private business,Western Europe,USD105000
4620,4653,103276,Microsoft SQL Server,11,Full time employee,Architect,No,4,None,Associates (2 years),Yes,"Yes, and they're currently valid",38,1,Private business,Western Europe,USD105000
4645,4678,110000,Microsoft SQL Server,10,Full time employee,DBA,No,4,4,Bachelors (4 years),Yes,"Yes, and they're currently valid",50,1,Private business,Western Europe,USD105000
4659,4692,107000,Microsoft SQL Server,15,Independent Consultant/Freelancer,DBA,No,1,None,Bachelors (4 years),No,"No, I never have",37,5 or more,Private business,Western Europe,USD105000
4743,4777,110000,Microsoft SQL Server,15,Independent Consultant/Freelancer,DBA,No,1,None,Bachelors (4 years),Yes,"Yes, but they expired",35,"None, or less than 1 day per week",Private business,Western Europe,USD105000
4756,4790,107000,Microsoft SQL Server,20,Full time employee,Architect,No,1,More than 5,Bachelors (4 years),Yes,"Yes, and they're currently valid",45,3,Private business,Western Europe,USD105000
4802,4836,104000,Microsoft SQL Server,10,Full time employee,DBA,Yes,5,None,Bachelors (4 years),Yes,"No, I never have",38,"None, or less than 1 day per week",Private business,Western Europe,USD105000
4931,4966,107000,Microsoft SQL Server,6,Full time employee,Manager,No,1,4,Bachelors (4 years),Yes,"Yes, and they're currently valid",50,4,Private business,Western Europe,USD105000
5024,5060,101000,Microsoft SQL Server,12,Full time employee,DBA,No,1,None,Associates (2 years),Yes,"Yes, and they're currently valid",45,"None, or less than 1 day per week",Private business,Western Europe,USD105000
5085,5121,110000,Microsoft SQL Server,15,Independent Consultant/Freelancer,Architect,No,10,2,Masters,,"Yes, and they're currently valid",60,2,Private business,Western Europe,USD105000
5100,5136,100500,Microsoft SQL Server,20,Full time employee,Architect,Yes,2,4,Masters,Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,Western Europe,USD105000
5102,5138,101000,Microsoft SQL Server,6,Full time employee,DBA,No,4,None,Bachelors (4 years),Yes,"No, I never have",40,5 or more,Private business,Western Europe,USD105000
5116,5153,110000,Microsoft SQL Server,17,Independent Consultant/Freelancer,Architect,Yes,5,5,None (no degree completed),,"Yes, but they expired",60,1,Private business,Western Europe,USD105000
